epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.99853,2.0215,4.97619,1.66294,0,0,0,0,2.18088,4.79383,2.02027,7.101e-05,2.367e-05,7.101e-05,2.367e-05,7.101e-05,2.367e-05,7.101e-05,2.367e-05
2,8.5564,2.01401,5.00464,1.64717,0,0,0,0,2.15263,4.76427,1.97101,0.000148426,4.94753e-05,0.000148426,4.94753e-05,0.000148426,4.94753e-05,0.000148426,4.94753e-05
3,11.1449,1.9474,4.91999,1.63,0,0,0,0,2.0999,4.73853,1.92214,0.00022428,7.47599e-05,0.00022428,7.47599e-05,0.00022428,7.47599e-05,0.00022428,7.47599e-05
4,13.8028,1.98502,4.93203,1.6504,0,0,0,0,2.02205,4.73222,1.86329,0.000298571,9.95237e-05,0.000298571,9.95237e-05,0.000298571,9.95237e-05,0.000298571,9.95237e-05
5,16.8032,1.93374,4.95489,1.60361,0,0,0,0,1.96414,4.71167,1.80379,0.0003713,0.000123767,0.0003713,0.000123767,0.0003713,0.000123767,0.0003713,0.000123767
6,20.0388,1.81461,4.90749,1.5419,0,0,0,0,1.90652,4.69033,1.7464,0.000442467,0.000147489,0.000442467,0.000147489,0.000442467,0.000147489,0.000442467,0.000147489
7,22.4046,1.80431,4.89561,1.52574,0,0,0,0,1.87545,4.68255,1.72383,0.000512072,0.000170691,0.000512072,0.000170691,0.000512072,0.000170691,0.000512072,0.000170691
8,24.8036,1.74703,4.88392,1.48593,0,0,0,0,1.81095,4.65014,1.6731,0.000580115,0.000193372,0.000580115,0.000193372,0.000580115,0.000193372,0.000580115,0.000193372
9,27.8974,1.67986,4.85558,1.45626,0,0,0,0,1.76102,4.63659,1.6354,0.000646595,0.000215532,0.000646595,0.000215532,0.000646595,0.000215532,0.000646595,0.000215532
10,31.3489,1.57945,4.84805,1.39763,0,0,0,0,1.66999,4.61066,1.58105,0.000711513,0.000237171,0.000711513,0.000237171,0.000711513,0.000237171,0.000711513,0.000237171
11,33.6913,1.52415,4.79395,1.35619,0,0,0,0,1.64255,4.58917,1.55779,0.000710889,0.000236963,0.000710889,0.000236963,0.000710889,0.000236963,0.000710889,0.000236963
12,36.1331,1.5222,4.83121,1.34936,0.01961,0.00427,0.01031,0.00692,1.60444,4.56948,1.53348,0.000703078,0.000234359,0.000703078,0.000234359,0.000703078,0.000234359,0.000703078,0.000234359
13,38.6113,1.4637,4.76168,1.31772,0.01923,0.00641,0.01055,0.00738,1.57168,4.55294,1.51497,0.000695267,0.000231756,0.000695267,0.000231756,0.000695267,0.000231756,0.000695267,0.000231756
14,41.2902,1.44466,4.77603,1.29889,0.02857,0.01282,0.02032,0.0166,1.50226,4.50056,1.46472,0.000687456,0.000229152,0.000687456,0.000229152,0.000687456,0.000229152,0.000687456,0.000229152
15,44.5303,1.40284,4.76759,1.27891,0.03373,0.01816,0.02605,0.02247,1.48236,4.47819,1.44616,0.000679645,0.000226548,0.000679645,0.000226548,0.000679645,0.000226548,0.000679645,0.000226548
16,46.9013,1.35604,4.72755,1.23965,0.03667,0.0235,0.03104,0.02668,1.46357,4.46536,1.44037,0.000671833,0.000223945,0.000671833,0.000223945,0.000671833,0.000223945,0.000671833,0.000223945
17,49.2887,1.28864,4.7062,1.20204,0.08179,0.03312,0.05659,0.04415,1.44252,4.44715,1.4287,0.000664022,0.000221341,0.000664022,0.000221341,0.000664022,0.000221341,0.000664022,0.000221341
18,51.8619,1.30952,4.67975,1.21839,0.08003,0.05128,0.06305,0.04973,1.38865,4.41165,1.40073,0.000656211,0.000218737,0.000656211,0.000218737,0.000656211,0.000218737,0.000656211,0.000218737
19,54.8251,1.31403,4.67991,1.21317,0.07745,0.05769,0.06241,0.05091,1.34108,4.3925,1.37762,0.0006484,0.000216133,0.0006484,0.000216133,0.0006484,0.000216133,0.0006484,0.000216133
20,57.648,1.3126,4.69471,1.19632,0.06392,0.0609,0.05701,0.04766,1.30691,4.37067,1.36499,0.000640589,0.00021353,0.000640589,0.00021353,0.000640589,0.00021353,0.000640589,0.00021353
21,60.0387,1.24746,4.64564,1.1729,0.07934,0.06838,0.06698,0.0573,1.28445,4.34762,1.34867,0.000632778,0.000210926,0.000632778,0.000210926,0.000632778,0.000210926,0.000632778,0.000210926
22,62.5594,1.21629,4.61129,1.1268,0.12279,0.09287,0.09499,0.08196,1.24119,4.29939,1.31572,0.000624967,0.000208322,0.000624967,0.000208322,0.000624967,0.000208322,0.000624967,0.000208322
23,64.9353,1.21914,4.61555,1.14661,0.12733,0.10543,0.10103,0.08692,1.22541,4.28244,1.30711,0.000617156,0.000205719,0.000617156,0.000205719,0.000617156,0.000205719,0.000617156,0.000205719
24,68.3007,1.18741,4.60121,1.13226,0.12257,0.11283,0.10043,0.08692,1.20878,4.26054,1.29347,0.000609345,0.000203115,0.000609345,0.000203115,0.000609345,0.000203115,0.000609345,0.000203115
25,70.8126,1.19088,4.59464,1.12961,0.11926,0.12405,0.10311,0.08892,1.20044,4.2422,1.29252,0.000601534,0.000200511,0.000601534,0.000200511,0.000601534,0.000200511,0.000601534,0.000200511
26,73.3273,1.21995,4.56758,1.1279,0.13996,0.15736,0.12555,0.10762,1.15893,4.18866,1.25902,0.000593722,0.000197907,0.000593722,0.000197907,0.000593722,0.000197907,0.000593722,0.000197907
27,75.7298,1.19626,4.51548,1.15132,0.1423,0.1643,0.13028,0.11223,1.13818,4.16447,1.24354,0.000585911,0.000195304,0.000585911,0.000195304,0.000585911,0.000195304,0.000585911,0.000195304
28,78.1448,1.15488,4.48738,1.12256,0.13851,0.18105,0.13376,0.11457,1.12828,4.14565,1.23782,0.0005781,0.0001927,0.0005781,0.0001927,0.0005781,0.0001927,0.0005781,0.0001927
29,81.8564,1.13411,4.48692,1.10744,0.1371,0.19166,0.13771,0.1177,1.11596,4.12612,1.22739,0.000570289,0.000190096,0.000570289,0.000190096,0.000570289,0.000190096,0.000570289,0.000190096
30,84.419,1.09042,4.43211,1.09463,0.12997,0.20383,0.13902,0.11864,1.09499,4.09017,1.20888,0.000562478,0.000187493,0.000562478,0.000187493,0.000562478,0.000187493,0.000562478,0.000187493
31,86.8588,1.05039,4.36773,1.05713,0.13276,0.21604,0.14294,0.12238,1.08678,4.07395,1.2043,0.000554667,0.000184889,0.000554667,0.000184889,0.000554667,0.000184889,0.000554667,0.000184889
32,89.3341,1.09612,4.39721,1.08177,0.1264,0.22192,0.14232,0.1216,1.07699,4.05628,1.19735,0.000546856,0.000182285,0.000546856,0.000182285,0.000546856,0.000182285,0.000546856,0.000182285
